α M log_fpbh
1.6679313357646577 6.596116778727688 -2.6876883387538557
1.9826359277838397 5.568008552301139 -2.586712126243137
1.7169571036771631 5.410282145021825 -2.5983507929939864
2.0053651292911585 6.683941355963707 -2.745164204182479
2.1612418910652114 6.407523586386862 -2.551304376055418
1.7058445609649677 5.713447311679291 -2.7012103044430473
1.8927156677558408 6.475833137718959 -2.7575154262102606
1.7646917107053708 6.563723542855493 -2.756779657281692
2.0454229056034623 5.908213638607429 -2.622619781715782
2.024678399937952 6.622785777298079 -2.7311879031489665
1.8172882197033955 5.275101148130791 -2.5769587306654564
2.227842300196003 6.832726163663885 -2.572178235275639
1.9729777699286255 6.73167521659772 -2.532606830915064
2.108088082518974 6.404936595556133 -2.536605493757581
2.018563359304647 6.189395816305203 -2.691146365212993
1.8953848858471725 5.543046830207569 -2.5476033398548497
1.721326951267236 5.63003043429636 -2.5826283674594075
1.9008746657237356 5.450268529174561 -2.608670872559735
1.9970442688913805 5.626801067765987 -2.578687249726502
2.116340043499501 6.174726711612118 -2.585036914984964
2.0456862349968947 6.230879213476724 -2.5374050994064694
1.7635496656765186 5.309488114851607 -2.610323697797586
1.9822794494871823 6.484417727930548 -2.734190724256018
1.9605614928099797 6.479153371593949 -2.739132806784614
1.735592074067539 5.432631243075322 -2.599971923057005
1.8012136947307285 6.257092548994002 -2.7495926658924974
2.085481572646823 6.129965131047668 -2.6287450295981474
2.0960410944911927 6.111249774961895 -2.6032628907740847
1.7140427818506212 5.939619735824903 -2.599481553151368
1.7453049035992274 6.42745454540321 -2.7448286272495115
1.9724118093127898 5.835127429692905 -2.6509357552879402
1.6816219938771355 6.490039965551549 -2.710385381086541
1.6622828565515069 6.152281130989953 -2.651832656118117
1.694508413110082 6.49595818940506 -2.719932763783639
1.7090415059134632 5.653231638628709 -2.679638201792754
1.6705685376370072 6.086199541034103 -2.6940927375037313
1.7979812734378098 6.411941251589816 -2.5761125173006088
2.045297903604149 6.698010379282602 -2.534032248309913
1.700592230948515 5.760575445287692 -2.6096916429550348
1.6827415892515005 6.345299457806701 -2.721209088996635
1.7833949062544847 5.394670349019603 -2.625467187657394
1.662545201630547 6.090697173633433 -2.6611476618456633
1.9990811437707348 5.716214414913439 -2.598093226165002
1.6870575301506243 6.695107375831606 -2.6692727328124732
1.8303204854347976 5.517457634290809 -2.6579728521231036
1.8645154868757188 5.547896090583828 -2.559868236618355
1.7777631465633001 5.396268791837418 -2.6059404764304173
1.6828676458454583 5.620653406392387 -2.6456612088782494
2.1188443340474894 6.2098976819006655 -2.5886509404112106
1.9716554411874712 5.754152674670842 -2.556696168965914
1.6811759669674013 5.734744520828214 -2.660171770005572
1.7837980151645645 6.4379267446701895 -2.7478634924697185
1.858172713537059 5.792745304122338 -2.5576969891424417
1.7725892528504679 5.4320295714139295 -2.5976478011287063
1.6995943783028178 6.4578133247948735 -2.633217827030148
1.98879252716139 6.0880791001698435 -2.681124904553526
1.8409242348771895 6.182459356414363 -2.7319144414501633
1.986158339940921 6.606345185987709 -2.7294001934503385
1.77411978308279 5.740534654118912 -2.692595760010843
2.148472838366563 6.434411060186278 -2.6273689255485717
2.0170027989454424 5.931368458516552 -2.630734326295351
2.073396823492343 6.160060699299015 -2.636665000901386
1.9944043887228484 6.800232478714346 -2.733116203289767
1.8737162768316713 5.504287261455623 -2.6296274319668136
1.8472565496512363 5.721210489361345 -2.557746352899776
1.8264191584145848 6.086017965164384 -2.7218507810268617
1.7323626123863374 5.477745631711183 -2.6196657527369958
1.810180872910388 5.4561655765551915 -2.6176351404781517
1.854970268260764 6.171217866818888 -2.7252612732182486
1.9681866888861865 6.3607428261836665 -2.540436563444783
1.71751553174719 6.4594623812114715 -2.7256722849861084
1.679151107119068 6.101136623170998 -2.6559100651185923
2.1240205872895626 6.764994703661925 -2.692146096502201
1.8858808236994489 5.577415417715506 -2.6319465501867425
1.7807008959752149 5.5775980315847455 -2.6597042980345935
1.752213086217401 5.682252190820919 -2.590891101888171
1.9822592248761117 5.788818578349217 -2.586055671760626
1.8751123533258336 5.922962912750995 -2.690054476961219
1.7739512697989164 6.801155793413135 -2.625560765776057
2.1583149133512407 6.587048660386856 -2.5849398702757282
2.2004005166611336 6.826667869871971 -2.5778420050326982
1.9973160583577072 5.880983741111869 -2.6147398088932357
1.8681352993544325 6.30179035439899 -2.7350265728619307
1.6864483194855036 6.099147971949632 -2.6492582616796447
1.8122861376959607 5.696869616397363 -2.675357424206128
1.707676704330015 6.583032796416097 -2.670433420362987
1.695311411020923 5.977350773749547 -2.680675440209554
1.996576269572232 6.755353839625678 -2.544874420557541
1.7362043863567969 6.807163034996876 -2.6670534374251194
2.008483863297383 6.52635083388372 -2.551591150502632
1.9206208366409712 5.6100301919957545 -2.5729066251135952
1.9279995004002641 6.026615317227023 -2.689439289346737
1.9357067254807951 5.634774553201689 -2.5764580615383164
1.8773253238842127 5.656257246039878 -2.5655420574184147
1.6925565010014716 6.116264380300438 -2.6443081483235558
1.782153676510259 5.6906962234471425 -2.6733541459493266
