α M log_fpbh
1.6063449845073028 5.7341031063736585 -2.632456622336064
2.0880673366773976 6.135066412929627 -2.635437141866122
1.692253677579598 5.006366997114048 -2.5860754734604794
1.6286821099594178 6.389492023522706 -2.6052934096604696
1.7175799324851524 5.5791488189509995 -2.6765988707709587
1.6410977821615842 6.161395030874976 -2.5730689444223525
2.2603895704943335 6.680597076878099 -2.5646088886784115
1.729849594761889 5.783696274624784 -2.6912167847993076
2.2229159987322182 6.837498606585644 -2.562086416591042
2.0211133383789655 5.917471338245037 -2.643822436876684
1.6068639271910823 5.95647531055381 -2.620368027145666
2.0683083599794827 6.726729370287919 -2.674784865074309
1.6560685686909544 5.06637022406724 -2.5745933936339394
2.178805100884138 6.554454185261593 -2.6321119296664803
1.6757798714271257 6.068393838594033 -2.6897662179439887
1.7481335987285882 5.090120573244289 -2.607660719928523
1.745088275549907 4.9715936152828135 -2.5083316767382664
1.6096498832642223 5.558857029466271 -2.568243784041646
1.6117242862355836 5.838133392742192 -2.633222751741867
2.1423144301798818 6.052663443705513 -2.581797601516839
1.890136766615902 5.492496089428029 -2.6454993316826156
2.000047752894763 6.590429456195453 -2.7056458950289715
1.7781876480922798 4.9517652655801365 -2.545545453616207
2.125955955640851 5.770276121111477 -2.5002339196984456
2.241814379679682 6.528120625525636 -2.5537621845001923
1.7992669642402328 6.548769624451213 -2.5189664670729552
2.017209710264388 5.3552842681295365 -2.502160788096906
2.176949270196122 6.114319187620707 -2.5452935023207797
2.133036665718452 6.19192282144577 -2.4709091316736966
1.7257866123557526 6.010404524510496 -2.5123246219401825
1.677865307767104 5.130824194275335 -2.600145627376111
1.79113206951283 6.653956415593189 -2.5308825382801716
1.692404413523734 6.677506290502164 -2.623225118874255
1.615678465280081 5.892061529311016 -2.6215406270734647
1.6726038475782523 6.177765747619633 -2.683794451021401
1.9435264828254315 6.300081459644613 -2.4600624465989003
2.2274932622257477 6.274825183988366 -2.5092020795687864
1.8389323911055984 5.168790750197874 -2.5936703233994898
1.92230206556036 6.193774851112757 -2.6980445418076027
1.83528839112622 5.46359677255524 -2.6509315938425466
1.8356268141444843 6.233290473681734 -2.486441385028198
2.2184309615042466 6.385799975679653 -2.5764194842040222
2.082554291429201 5.743865287692361 -2.466873202408298
2.109421737557761 5.820471269794082 -2.483001468429272
1.970124802707894 5.7189172315886285 -2.4465487497854324
1.6175923958857958 5.903731007520632 -2.608346076619219
1.6440814997193942 5.368477753687567 -2.551140454515768
2.03222960236982 6.840785132428978 -2.5044899677536026
1.629427646518868 5.413951628507145 -2.5650959005475644
1.6782013134484353 5.983534918523987 -2.540519631390641
1.9171295327563476 6.25265557126787 -2.708445374957198
